author,comment,time
aaaaaaaNoriko,xxxxxxxx分かりやすいです！！,0:50:04
aaaaaaakaori,xxxxxxxxありがたいです,0:50:44
aaaaaaa木村仁,xxxxxxxx▼リスラボの申し込みはこちらhttps://listing-lab.jp/url/order.html,1:11:21
aaaaaaamatsuda,xxxxxxxx個人・個人事業主（法人ではない）がGoogleへ出稿することはできるのですか？（ビジネスアカウントを作らなくてもよいですか？）,1:12:31
aaaaaaaかめい,xxxxxxxx広告出稿の期間、成果はいつまで待つか、どう判断しますか？広告費用の決済は？,1:12:51
aaaaaaaクリヒラ,xxxxxxxx今日はありがとうございました。グーグル広告出稿ならばyou tubeにも表示されるのですか？,1:12:53
aaaaaaaえるも,xxxxxxxx広告費用がないと難しいですか？,1:13:01
aaaaaaa草野武,xxxxxxxx広告費は月いくらかかるの？,1:13:11
aaaaaaaICHIRO SUWA,xxxxxxxxスマホだと広告枠が少ないと思うのですが、問題ナシですか？,1:14:19
aaaaaaanasu,xxxxxxxxリスティングOKの案件は、既にライバルが出稿済みのケースが多く、その分広告単価が高くないですか？,1:14:21
aaaaaaaTak,xxxxxxxx商標一部OKではなく、商標OK案件が少なく、なかなか売れそうな商品がなさそうなのですが、商品選びにかなり時間をかけて探すしかないのですか？,1:14:22
aaaaaaamiyuki,xxxxxxxxGoogle広告用のアカウントはGmailあればOKとのことですが、匿名（本名以外）でも大丈夫ですか？,1:14:44
aaaaaaainoue,"xxxxxxxx""本日はありがとうございました。3つ質問があります。よろしくお願いいたします。①木村さん自身に質問はできるのか②アカウント停止などになった場合の対処法や対策なども講座内容にあるか③私もそうですが、今はchatGPTなどで情報収集をする人が増えていて、検索機会の減少もあるのかと思いますが、そのあたりの影響はどう考えているか""",1:15:03
aaaaaaa笠井たくや,xxxxxxxx本日は有難うございました。まだASPのことがよくわかっていないのですが、Phase1を実行するにあたって、具体的にどこのASPを参考すれば良いか、おすすめがあれば教えていただけますでしょうか？,1:15:11
aaaaaaaKD,xxxxxxxxGoogle広告の垢バン対策はどうされていますか？,1:15:30
aaaaaaaNoriko,xxxxxxxxおすすめのASPはありますか？,1:15:30
aaaaaaashita,xxxxxxxx講座の期間はどのくらいですか？,1:15:31
aaaaaaamatsuo,xxxxxxxxリスラボでは、AIでフェーズ1、2、3それぞれのサイトを作ったりはしていますか？サイト作成が苦手なので聞いてみました。,1:15:35
aaaaaaaクリヒラ,xxxxxxxxありがとうございました,1:15:46
aaaaaaaK Ishikawa,xxxxxxxxアフィリエイトページを出稿する時は、１つのページに１つのドメインを取得しますか？,1:16:00
aaaaaaaぶっしー,xxxxxxxx最近PPCの出稿をしようとしたのですが、管理画面がわかりにくくなっていて勝手にディスプレイ広告への出稿もされていたりしてPPCのみ出稿するのが大変でした。新しい管理画面の操作方法なども指導していただけるのでしょうか？,1:16:28
aaaaaaaK Ishikawa,xxxxxxxx広告をした後、そのページが売れなかった場合、そのページをやめる場合、判断基準はどうされていますか？,1:16:39
aaaaaaa草野武,xxxxxxxxありがとうございました。,1:16:43
aaaaaaayama,xxxxxxxxありがとうございました。リスラボの価格はいくらですか？,1:17:06
aaaaaaaoura,xxxxxxxx広告費の違いで表示され方に違いがあるという事ですか？,1:17:14
aaaaaaamatsuda,xxxxxxxxまだアフィラボに入会していないのですが、リスラボに参加できますか？,1:18:37
aaaaaaaぶっしー,xxxxxxxx海外での出稿を考えているのですが、質問をすればそのあたりの指導もしていただけますか？,1:19:17
aaaaaaaNoriko,xxxxxxxx広告費に使った費用は、確定申告で広告宣伝費の経費にできるのでしょうか？（個人事業主の場合）,1:19:32
aaaaaaaDonguri,xxxxxxxxリスラボに参加するにはアフィLabのマニュアルがわかってないとだめですか？,1:20:17
aaaaaaainoue,xxxxxxxxあ、講座に参加してです！,1:22:49
aaaaaaaかい,xxxxxxxxありがとうございました。リスラボはサポート期間はありますか？,1:23:08
aaaaaaainoue,xxxxxxxxありがとうございます！,1:25:01
aaaaaaa大澤,xxxxxxxx本日はありがとうございました。割引はいつまでですか？,1:26:26
aaaaaaanasu,xxxxxxxxいまリスラボの案内ページを見ています。冒頭に紹介されている成果報酬の画面は、フェーズ１の成果でしょうか？,1:30:36
aaaaaaaNoriko,xxxxxxxxリスラボの初期費用は一括払いのみでしょうか？,1:34:17
aaaaaaa草野武,xxxxxxxxありがとうございました。,1:35:05
aaaaaaaNoriko,xxxxxxxxありがとうございました！,1:36:54
aaaaaaamatsuda,xxxxxxxxありがとうございました,1:37:00
aaaaaaaいわつき,xxxxxxxxありがとうございました！,1:37:13
aaaaaaainoue,xxxxxxxxありがとうございました。,1:37:20
aaaaaaakaori,xxxxxxxxありがとうございました！,1:37:25
aaaaaaa笠井たくや,xxxxxxxx有難うございました,1:37:26
aaaaaaanasu,xxxxxxxxありがとうございました,1:37:27
